t=2025-12-29T22:21:25+0530 lvl=info msg="no configuration paths supplied"
t=2025-12-29T22:21:25+0530 lvl=info msg="using configuration at default config path" path="/Users/jayanth/Library/Application Support/ngrok/ngrok.yml"
t=2025-12-29T22:21:25+0530 lvl=info msg="open config file" path="/Users/jayanth/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-12-29T22:21:25+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-12-29T22:21:26+0530 lvl=info msg="client session established" obj=tunnels.session
t=2025-12-29T22:21:26+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-12-29T22:30:29+0530 lvl=info msg="join connections" obj=join id=c7875e0b08d7 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59406
t=2025-12-29T22:30:33+0530 lvl=info msg="join connections" obj=join id=71d6ad37290f l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59406
t=2025-12-29T22:31:11+0530 lvl=info msg="join connections" obj=join id=bf010f918c13 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59425
t=2025-12-29T22:31:11+0530 lvl=info msg="join connections" obj=join id=f67dd0236628 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59425
t=2025-12-29T22:31:12+0530 lvl=info msg="join connections" obj=join id=ca957782c49a l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59425
t=2025-12-29T22:38:20+0530 lvl=info msg="join connections" obj=join id=21b6f014314d l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59571
t=2025-12-29T22:38:30+0530 lvl=info msg="join connections" obj=join id=af592c0786b6 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59578
t=2025-12-29T22:38:31+0530 lvl=info msg="join connections" obj=join id=0fc9e10b78dd l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59578
t=2025-12-29T22:38:40+0530 lvl=info msg="join connections" obj=join id=62332e8a0b08 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59586
t=2025-12-29T22:39:02+0530 lvl=info msg="join connections" obj=join id=ca24a23cd2f1 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59606
t=2025-12-29T22:39:03+0530 lvl=info msg="join connections" obj=join id=0f83df54a9dc l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59606
t=2025-12-29T22:39:05+0530 lvl=info msg="join connections" obj=join id=8d8a2925f7c4 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59613
t=2025-12-29T22:39:11+0530 lvl=info msg="join connections" obj=join id=0ef3efc94409 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59618
t=2025-12-29T22:39:12+0530 lvl=info msg="join connections" obj=join id=2054b5fadbd9 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59618
t=2025-12-29T22:39:17+0530 lvl=info msg="join connections" obj=join id=2cdc9bfde41b l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59628
t=2025-12-29T22:39:17+0530 lvl=info msg="join connections" obj=join id=7ad2b4d687b4 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59628
t=2025-12-29T22:39:19+0530 lvl=info msg="join connections" obj=join id=0944b4654e70 l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59634
t=2025-12-29T22:39:20+0530 lvl=info msg="join connections" obj=join id=e1ed2dff75cb l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59634
t=2025-12-29T22:39:20+0530 lvl=info msg="join connections" obj=join id=b4a5454f917a l=127.0.0.1:5001 r=[2405:201:c03a:4956:d5e6:8497:c0d6:2098]:59634
